x_solarhour,x_sun_alt,x_lat,solarhour,sun_alt,lat,solarhour_glm,sun_alt_glm,lat_glm
0.0,-90.0,-90.0,0.041676405474462386,0.00017968005434073313,3.868100126422848e-10,0.04081550732672608,0.00022707039377387953,1.754621485168256e-21
0.12060301507537688,-89.09547738693468,-89.09547738693468,0.043560774932435806,0.00023401896484169914,1.042278825997963e-09,0.042971950074360984,0.0002960595288804912,1.2242901820161806e-20
0.24120603015075376,-88.19095477386935,-88.19095477386935,0.04548065212253199,0.0002968847484874771,2.679290369546339e-09,0.045170569195504794,0.0003758165366149989,8.12609753279231e-20
0.36180904522613067,-87.28643216080403,-87.28643216080403,0.047430828570224556,0.0003676943812935593,6.573004378751208e-09,0.047405298557545855,0.00046553352486701857,5.130986624355891e-19
0.4824120603015075,-86.38190954773869,-86.38190954773869,0.04940580569873009,0.00044559867696475456,1.5395587435635383e-08,0.04966978944278466,0.0005640463954634055,3.0822438470400883e-18
0.6030150753768844,-85.47738693467336,-85.47738693467336,0.051399871211731965,0.0005296097491892079,3.4444653811732135e-08,0.051957515187485065,0.0006699953592177363,1.761603687295721e-17
0.7236180904522613,-84.57286432160804,-84.57286432160804,0.05340717949951271,0.0006187358715595678,7.365041637610084e-08,0.05426187657083183,0.0007819987286615262,9.579753115379409e-17
0.8442211055276382,-83.66834170854271,-83.66834170854271,0.05542183287839614,0.0007121018677297248,1.5060035871117218e-07,0.05657630189606478,0.000898816983237026,4.957208964671313e-16
0.964824120603015,-82.76381909547739,-82.76381909547739,0.05743796035696399,0.0008090386582559472,2.9470342637570813e-07,0.058894336153972354,0.0010194885864282261,2.441131607638267e-15
1.085427135678392,-81.85929648241206,-81.85929648241206,0.059449790700655106,0.0009091318089779256,5.523476059072443e-07,0.06120971451693816,0.001143421755400732,1.1440712036981816e-14
1.2060301507537687,-80.95477386934674,-80.95477386934674,0.06145171685651524,0.0010122245325480362,9.924868352183969e-07,0.06351641659428438,0.001270428435422425,5.103433915245254e-14
1.3266331658291457,-80.0502512562814,-80.0502512562814,0.06343834931480251,0.0011183759706925986,1.711611263454348e-06,0.06580869929657827,0.0014006919245644278,2.1670172331649014e-13
1.4472361809045227,-79.14572864321607,-79.14572864321607,0.06540455670971353,0.0012277817770071113,2.8366924821248246e-06,0.06808110772144221,0.0015346707099411702,8.759897504017779e-13
1.5678391959798994,-78.24120603015075,-78.24120603015075,0.06734549287058797,0.0013406712264449124,4.524690126741049e-06,0.07032846510450035,0.0016729565284728856,3.371496790791996e-12
1.6884422110552764,-77.33668341708542,-77.33668341708542,0.06925661055301752,0.0014572018272182906,6.957738663336055e-06,0.07254584449679527,0.0018161183784243247,1.2356292912317684e-11
1.809045226130653,-76.4321608040201,-76.4321608040201,0.0711336631217812,0.0015773760066765908,1.0334183782070367e-05,0.07472852634914864,0.0019645691085552674,4.3127562718884995e-11
1.92964824120603,-75.52763819095478,-75.52763819095478,0.07297269640486728,0.0017010023338979653,1.485689906657238e-05,0.07687194750912334,0.0021184838861178887,1.4337980550242848e-10
2.050251256281407,-74.62311557788945,-74.62311557788945,0.07477003367605325,0.0018277149609493366,2.0721251865713748e-05,0.07897164815369287,0.0022777829782241925,4.541075355643545e-10
2.170854271356784,-73.71859296482413,-73.71859296482413,0.07652225713947532,0.0019570508729580592,2.8105185957887092e-05,0.08102322376646141,0.002442172143571721,1.3703939306528802e-09
2.2914572864321605,-72.8140703517588,-72.8140703517588,0.07822618930718031,0.0020885686050605362,3.716297635885913e-05,0.08302228929714506,0.0026112200926841442,3.9412545952837524e-09
2.4120603015075375,-71.90954773869346,-71.90954773869346,0.07987887724900096,0.002221978886972863,4.802266862637511e-05,0.08496446199909001,0.0027844477566481255,1.0804915491739155e-08
2.5326633165829144,-71.00502512562814,-71.00502512562814,0.08147758187236037,0.002357251475803292,6.078585786264615e-05,0.08684536806655838,0.002961407288476985,2.824307606176052e-08
2.6532663316582914,-70.10050251256281,-70.10050251256281,0.08301977325491475,0.0024946657690100406,7.552808547863772e-05,0.08866067608036965,0.003141735389555487,7.040836532724351e-08
2.7738693467336684,-69.19597989949749,-69.19597989949749,0.08450313173000275,0.0026347854730415653,9.229894521383014e-05,0.0904061575183019,0.003325171462067045,1.6745183272036937e-07
2.8944723618090453,-68.29145728643216,-68.29145728643216,0.08592555311053962,0.0027783565861874858,0.0001111223600912911,0.09207777139203735,0.0035115348866274834,3.800639346484882e-07
3.015075376884422,-67.38693467336684,-67.38693467336684,0.08728515530768044,0.002926148144501232,0.00013199826633960104,0.09367176673805447,0.003700659544537829,8.235516557121132e-07
3.135678391959799,-66.4824120603015,-66.4824120603015,0.08858028285518763,0.003078771026112283,0.00015490625656737302,0.09518479361342995,0.0038922913238495366,1.7044349899229035e-06
3.2562814070351758,-65.57788944723617,-65.57788944723617,0.08980950561542253,0.0032365172927056084,0.00017980979392355286,0.09661401085369739,0.004085967763787034,3.3708448669122154e-06
3.3768844221105527,-64.67336683417085,-64.67336683417085,0.09097160830603523,0.003399259119030936,0.0002066577907727917,0.09795717756779895,0.004280915220650483,6.3739527720408775e-06
3.4974874371859297,-63.768844221105525,-63.768844221105525,0.092065568433168,0.003566433044226597,0.00023538041481565284,0.09921271550409767,0.004476009415762231,1.1531043039363958e-05
3.618090452261306,-62.8643216080402,-62.8643216080402,0.09309052165879693,0.003737115124284042,0.00026587880653512205,0.10037973121579927,0.004669839412643351,1.9972710269955655e-05
