lat,dens
-5.500000000000000000e+01,2.444791052308850294e-21
-5.444723618090452533e+01,8.640413437850642278e-21
-5.389447236180904355e+01,2.996807921035214350e-20
-5.334170854271356887e+01,1.020042642447285877e-19
-5.278894472361808710e+01,3.407347091479562634e-19
-5.223618090452261242e+01,1.117009383321525320e-18
-5.168341708542713775e+01,3.593714940206246960e-18
-5.113065326633165597e+01,1.134699727593887590e-17
-5.057788944723618130e+01,3.516196852815308885e-17
-5.002512562814070662e+01,1.069362462302819569e-16
-4.947236180904522485e+01,3.191839804911251915e-16
-4.891959798994975017e+01,9.350326641394370063e-16
-4.836683417085427550e+01,2.688360262973760393e-15
-4.781407035175879372e+01,7.586280642224672721e-15
-4.726130653266331905e+01,2.101150713439130964e-14
-4.670854271356783727e+01,5.711877103111406335e-14
-4.615577889447236259e+01,1.524055374998479608e-13
-4.560301507537688792e+01,3.991445634083114221e-13
-4.505025125628140614e+01,1.026065501733595592e-12
-4.449748743718593147e+01,2.589069397719578616e-12
-4.394472361809044969e+01,6.412759410551315851e-12
-4.339195979899497502e+01,1.559151750020862557e-11
-4.283919597989950034e+01,3.721210399436214982e-11
-4.228643216080402567e+01,8.718533156897058575e-11
-4.173366834170854389e+01,2.005292599879028104e-10
-4.118090452261306211e+01,4.527931748381212955e-10
-4.062814070351758744e+01,1.003745071377784426e-09
-4.007537688442211277e+01,2.184555711265795065e-09
-3.952261306532663809e+01,4.668043103631989284e-09
-3.896984924623115631e+01,9.793903190733097714e-09
-3.841708542713568164e+01,2.017644173097201944e-08
-3.786432160804019986e+01,4.081514461855578034e-08
-3.731155778894472519e+01,8.107892584572618737e-08
-3.675879396984925052e+01,1.581715274272151223e-07
-3.620603015075376874e+01,3.030457426067541215e-07
-3.565326633165829406e+01,5.702638036165454921e-07
-3.510050251256281229e+01,1.054051640061919285e-06
-3.454773869346733761e+01,1.913814981003069885e-06
-3.399497487437186294e+01,3.413709700491858967e-06
-3.344221105527638827e+01,5.982487235123143628e-06
-3.288944723618090649e+01,1.030170813946000916e-05
-3.233668341708542471e+01,1.743238345532035122e-05
-3.178391959798995003e+01,2.899189866136371542e-05
-3.123115577889447536e+01,4.739429988033721732e-05
-3.067839195979899714e+01,7.616715153885488746e-05
-3.012562814070351891e+01,1.203565980770963630e-04
-2.957286432160804424e+01,1.870283686501811814e-04
-2.902010050251256601e+01,2.858657731515831758e-04
-2.846733668341708778e+01,4.298560677973851094e-04
-2.791457286432160956e+01,6.360442083391543025e-04
-2.736180904522613133e+01,9.263188603369569259e-04
-2.680904522613065666e+01,1.328181166537758303e-03
-2.625628140703517843e+01,1.875434332670411659e-03
-2.570351758793970021e+01,2.608724070229810014e-03
-2.515075376884422553e+01,3.575858735114042890e-03
-2.459798994974874731e+01,4.831845431309550118e-03
-2.404522613065326908e+01,6.438595085159608614e-03
-2.349246231155779085e+01,8.464274677326629609e-03
-2.293969849246231263e+01,1.098231590194454800e-02
