lat,dens
-5.500000000000000000e+01,6.321747023228686813e-02
-5.444723618090452533e+01,6.976973948576260798e-02
-5.389447236180904355e+01,7.661617042522447796e-02
-5.334170854271356887e+01,8.374249906619377071e-02
-5.278894472361808710e+01,9.113277029964705900e-02
-5.223618090452261242e+01,9.876922971551843622e-02
-5.168341708542713775e+01,1.066324471212215658e-01
-5.113065326633165597e+01,1.147017089910336851e-01
-5.057788944723618130e+01,1.229556634693903527e-01
-5.002512562814070662e+01,1.313731480278882979e-01
-4.947236180904522485e+01,1.399340873907243543e-01
-4.891959798994975017e+01,1.486203272475810910e-01
-4.836683417085427550e+01,1.574162732097696416e-01
-4.781407035175879372e+01,1.663092348773857199e-01
-4.726130653266331905e+01,1.752894265578235078e-01
-4.670854271356783727e+01,1.843496389994228879e-01
-4.615577889447236259e+01,1.934846574333107527e-01
-4.560301507537688792e+01,2.026905470433301715e-01
-4.505025125628140614e+01,2.119639473649026218e-01
-4.449748743718593147e+01,2.213015071199205541e-01
-4.394472361809044969e+01,2.306995525368880084e-01
-4.339195979899497502e+01,2.401540238920349957e-01
-4.283919597989950034e+01,2.496606503629045792e-01
-4.228643216080402567e+01,2.592152776847854723e-01
-4.173366834170854389e+01,2.688142300739537749e-01
-4.118090452261306211e+01,2.784545857561308568e-01
-4.062814070351758744e+01,2.881342750843652323e-01
-4.007537688442211277e+01,2.978519646181794212e-01
-3.952261306532663809e+01,3.076067562169765290e-01
-3.896984924623115631e+01,3.173977904428832431e-01
-3.841708542713568164e+01,3.272238824023122605e-01
-3.786432160804019986e+01,3.370833243525691025e-01
-3.731155778894472519e+01,3.469739594105167302e-01
-3.675879396984925052e+01,3.568935697586411160e-01
-3.620603015075376874e+01,3.668405439358575770e-01
-3.565326633165829406e+01,3.768147091315545705e-01
-3.510050251256281229e+01,3.868181547154128652e-01
-3.454773869346733761e+01,3.968558477747743951e-01
-3.399497487437186294e+01,4.069358582422616388e-01
-3.344221105527638827e+01,4.170690690981548876e-01
-3.288944723618090649e+01,4.272683358284468658e-01
-3.233668341708542471e+01,4.375471615713185103e-01
-3.178391959798995003e+01,4.479180497108345427e-01
-3.123115577889447536e+01,4.583907648193686346e-01
-3.067839195979899714e+01,4.689707617813708151e-01
-3.012562814070351891e+01,4.796580258054308765e-01
-2.957286432160804424e+01,4.904465061212852084e-01
-2.902010050251256601e+01,5.013242349654247754e-01
-2.846733668341708778e+01,5.122741181230875407e-01
-2.791457286432160956e+01,5.232752828869841055e-01
-2.736180904522613133e+01,5.343047911447540432e-01
-2.680904522613065666e+01,5.453394816907051190e-01
-2.625628140703517843e+01,5.563577021324220828e-01
-2.570351758793970021e+01,5.673407247665404052e-01
-2.515075376884422553e+01,5.782737039194463247e-01
-2.459798994974874731e+01,5.891461113562350693e-01
-2.404522613065326908e+01,5.999516666337099124e-01
-2.349246231155779085e+01,6.106878468873153665e-01
-2.293969849246231263e+01,6.213551051341935638e-01
-2.238693467336683796e+01,6.319559424589058505e-01
-2.183417085427136328e+01,6.424939678223920980e-01
-2.128140703517588150e+01,6.529730454340099133e-01
-2.072864321608040683e+01,6.633965832930125428e-01
-2.017587939698492505e+01,6.737669691952318241e-01
-1.962311557788945038e+01,6.840851232845579499e-01
-1.907035175879397570e+01,6.943501174449963065e-01
-1.851758793969849393e+01,7.045588153871777948e-01
-1.796482412060301925e+01,7.147055118831311393e-01
-1.741206030150753747e+01,7.247815889275130985e-01
-1.685929648241206280e+01,7.347752507168417990e-01
-1.630653266331658813e+01,7.446714365335967978e-01
