x_solarhour,x_sun_alt,x_lat,v0_solarhour,v0_sun_alt,v0_lat,v0_solarhour_glm,v0_sun_alt_glm,v0_lat_glm,v45_solarhour,v45_sun_alt,v45_lat,v45_solarhour_glm,v45_sun_alt_glm,v45_lat_glm,v50_solarhour,v50_sun_alt,v50_lat,v50_solarhour_glm,v50_sun_alt_glm,v50_lat_glm,v65_solarhour,v65_sun_alt,v65_lat,v65_solarhour_glm,v65_sun_alt_glm,v65_lat_glm,v25_solarhour,v25_sun_alt,v25_lat,v25_solarhour_glm,v25_sun_alt_glm,v25_lat_glm
1.6884422110552764,-77.33668341708542,-77.33668341708542,0.0524099036346022,0.0024145195918658,0.0048615429421023,0.0533248173848655,0.0028905028398727,1.114543542149584e-10,0.0552460811794186,0.0009376158558949,0.0050137867562322,0.0561022126189923,0.0011154798511271,1.2375919446477718e-10,0.0553120061025699,0.0008751070966498,0.0046623542985441,0.0560379449824732,0.0010562180806612,1.0593150520601707e-10,0.055200610582533,0.0008018430903377,0.0040979954821135,0.0552618700617806,0.000920649732243,9.337550254556596e-11,0.0560324213628597,0.0023631745266631,0.0047523539857496,0.0572908925998187,0.0028556266738248,9.496863762275716e-11
1.809045226130653,-76.4321608040201,-76.4321608040201,0.0526414409640048,0.0025851600571547,0.004881776872154,0.0536229084559388,0.0030941075656539,3.869536047517606e-10,0.0574489505656855,0.0010196341457874,0.0050125381647531,0.0585717420192404,0.0012166742998148,4.2616953201359487e-10,0.0576567733383575,0.0009599087692134,0.0046845932868349,0.0586661738999416,0.0011582596110734,3.678480158111368e-10,0.0578697401124689,0.000877207406442,0.0041308427842239,0.0581271169682761,0.001010221987218,3.249375630701261e-10,0.056596007530221,0.0025311365387799,0.0047775129732545,0.0578538168595743,0.0030569645576216,3.3081204691273376e-10
1.92964824120603,-75.52763819095478,-75.52763819095478,0.0528543347736204,0.002755934880319,0.0049027598297,0.0539041212495487,0.0033003829221033,1.2799471491444591e-09,0.0596538543432844,0.0011040270028209,0.0050092847865745,0.0610396741787179,0.0013209965129513,1.3984977828709319e-09,0.0600029492465038,0.0010478263170124,0.0047062517172443,0.0612978548163755,0.0012637107146652,1.2167624017232228e-09,0.0605402627080218,0.0009558425874112,0.0041612985766665,0.0609982735362552,0.0011053050595646,1.0773371396381575e-09,0.0571347326606841,0.0026983221905812,0.0047978811392456,0.0583847039982119,0.0032600519660498,1.098031028754666e-09
2.050251256281407,-74.62311557788945,-74.62311557788945,0.0530485583112373,0.0029263061334993,0.0049246072410514,0.0541665149309488,0.0035084021068803,4.034186809587958e-09,0.0618551999871138,0.0011910048772263,0.0050049798301464,0.063498780393929,0.0014286977611121,4.374020419274989e-09,0.0623446805239808,0.001138618374806,0.0047278123831391,0.0639249616349439,0.0013721550471522,3.834365199056182e-09,0.0632044423659892,0.0010379576742829,0.0041897441253922,0.0638669564741081,0.001206315180997,3.403606681867039e-09,0.0576484357060284,0.0028638585811328,0.0048139781097136,0.0588841215318602,0.0034632662547367,3.473250173835721e-09
2.170854271356784,-73.71859296482413,-73.71859296482413,0.0532240703091779,0.003095624359247,0.0049471979818484,0.054408159105552,0.0037166092507949,1.211757266398948e-08,0.0640473445219771,0.0012807960720513,0.005000664664373,0.0659420820541638,0.0015401084527206,1.3040959637478665e-08,0.0646762237024072,0.001232064833322,0.0047496023907181,0.0665394884939603,0.0014831527354888,1.1513125122445942e-08,0.06585477658514,0.0011237620037125,0.0042163149990725,0.0667249442679628,0.0013133942593139,1.0247522458721102e-08,0.0581371207853059,0.003026907819245,0.0048264799684707,0.0593529476677397,0.0036646393981228,1.0471438122216365e-08
2.2914572864321605,-72.8140703517588,-72.8140703517588,0.053380832390137,0.0032632141522269,0.0049702277303009,0.0546272261694133,0.0039230827423531,3.46929957363113e-08,0.0662246284950505,0.0013736227837693,0.0049974811603533,0.0683629257440024,0.001655564897467,3.70700925818804e-08,0.0669919566223128,0.0013280008706652,0.0047718257541773,0.0691335099234842,0.0015963654284438,3.2943757580369915e-08,0.0684840460631337,0.0012134410781648,0.0042411449562715,0.0695642066233364,0.0014263463635141,2.9407032128083538e-08,0.0586009511758663,0.0031868334116217,0.0048363338923655,0.0597923012714021,0.0038622711836407,3.009480265101991e-08
2.4120603015075375,-71.90954773869346,-71.90954773869346,0.0535188286824011,0.0034284608910393,0.0049932187834226,0.0548220714749742,0.004125887768131,9.469179358822697e-08,0.0683814163177215,0.0014696834754047,0.0049965743669325,0.0707550444907548,0.001775308134169,1.0048591661876834e-07,0.0692863837959613,0.0014263455407848,0.004794568883548,0.0716992378420068,0.0017116766834427,8.984806522245341e-08,0.0710853553478948,0.0013071429840127,0.0042645488146986,0.0723769216339985,0.0015446607312797,8.044584045682262e-08,0.0590402380949192,0.003343335060281,0.0048447244365699,0.0602034698018884,0.0040547110867649,8.246392514011076e-08
2.5326633165829144,-71.00502512562814,-71.00502512562814,0.0536380869191093,0.0035908778950334,0.0050155381937553,0.0549912983901371,0.0043234221383284,2.464410681894336e-07,0.0705121421906715,0.0015691423883295,0.0049989371438845,0.0731126008638881,0.0018993801310365,2.598026112818161e-07,0.0715541367407548,0.0015271158868827,0.0048178162457085,0.0742290756663733,0.0018292534808672,2.336061235613904e-07,0.0736521632309578,0.0014049793239482,0.0042871182140138,0.0751554827285509,0.0016676214304094,2.098218672818934e-07,0.0594554249924643,0.0034965133922383,0.0048529379850228,0.0605878414767387,0.0042411965460328,2.154783666096884e-07
2.6532663316582914,-70.10050251256281,-70.10050251256281,0.0537387005188233,0.0037501447813148,0.0050364562161381,0.0551338074977215,0.0045146733499149,6.117008809933391e-07,0.0726113601693129,0.0016721246863989,0.0050052521874292,0.0754302090979908,0.0020275518254945,6.408206510946753e-07,0.0737899707560556,0.0016304201001403,0.0048414887018844,0.0767156705624205,0.0019495154744125,5.791539236668881e-07,0.0761783021821315,0.0015070381347234,0.0043097207043921,0.0778924989672001,0.0017944710068706,5.218865831236508e-07,0.0598470685861784,0.0036468454802771,0.0048621877973055,0.0609468470085617,0.0044216896983547,5.37030601315575e-07
2.7738693467336684,-69.19597989949749,-69.19597989949749,0.0538208512300906,0.0039061183958033,0.0050552502405419,0.055248830985668,0.0046993396490859,1.4484257461444824e-06,0.0746737963443461,0.0017787135705716,0.0050157777532777,0.0777029354359779,0.0021593134151447,1.508314693347265e-06,0.0759887599675368,0.0017364281175068,0.0048654954798298,0.079151965384191,0.0020730160346959,1.3694444667165635e-06,0.0786579867339581,0.0016134003744709,0.0043334148647286,0.0805807934062259,0.0019245735788812,1.2381512194305803e-06,0.0602158182630275,0.0037950757740446,0.0048734568675551,0.0612819149071661,0.0045967245040638,1.2768762275128423e-06
